environment_id,client_id,reservation_date,clock_in,clock_out,purpose,status
1,543,2024-01-10,10:00,14:27,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1
4,707,2024-08-29,8:06,14:47,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2
2,206,2024-05-19,9:29,14:52,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2
6,596,2024-01-10,12:24,13:56,Phasellus in felis.,1
3,903,2023-12-19,12:38,17:10,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,0
6,802,2024-01-16,10:08,15:54,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",1
5,328,2024-08-21,11:46,16:47,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2
6,528,2024-01-07,8:42,16:19,Cras pellentesque volutpat dui.,0
3,820,2024-06-03,9:49,16:04,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1
1,475,2024-03-04,12:54,19:36,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1
1,980,2024-03-21,8:19,13:11,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",1
4,899,2023-09-28,12:58,15:11,Vivamus vestibulum sagittis sapien.,1
6,971,2023-09-28,8:35,13:15,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,2
5,540,2023-10-05,9:28,14:03,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",0
4,157,2023-12-10,10:25,13:45,Aenean lectus.,2
3,183,2023-08-21,8:01,14:25,Quisque ut erat.,0
